Address,Type,Area,Price,Bedroom,Toilet,Floor,Furniture,Direction,Legal,Posting date,Expiry date,Ad type,Ad code
"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",Căn hộ chung cư,47 m²,"1,9 tỷ",2 phòng,,,,,Sổ đỏ/ Sổ hồng,02/05/2025,09/05/2025,Tin VIP Kim Cương,42438234
"Dự án The Beverly Solari  - Vinhomes Grand Park, Phường Long Bình, Quận 9, Hồ Chí Minh",Căn hộ chung cư,90 m²,Thỏa thuận,3 phòng,,,,,,24/04/2025,09/05/2025,Tin thường,42818062
"Dự án Lumiere Boulevard, Phường Long Bình, Quận 9, Hồ Chí Minh",Căn hộ chung cư,75 m²,"4,5 tỷ",2 phòng,,,,,Hợp đồng mua bán,07/05/2025,14/05/2025,Tin VIP Kim Cương,42581902
"Đường Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Hồ Chí Minh",Nhà riêng,28 m²,"3,6 tỷ",2 phòng,,3 tầng,Cơ bản,Đông,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42720679
"Phường Phú Mỹ, Quận 7, Hồ Chí Minh",Nhà mặt phố,80 m²,16 tỷ,3 phòng,,4 tầng,Đầy đủ,Tây - Nam,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42711803
"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh",Nhà riêng,113 m²,"9,95 tỷ",4 phòng,,4 tầng,Đầy đủ.,Tây,Sổ đỏ/ Sổ hồng.,04/05/2025,14/05/2025,Tin thường,42650489
"Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",Nhà riêng,"284,5 m²",22 tỷ,13 phòng,,3 tầng,,Đông,Sổ đỏ/ Sổ hồng,25/04/2025,05/05/2025,Tin thường,42824758
"Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",Nhà riêng,"59,6 m²","7,5 tỷ",4 phòng,,4 tầng,Đầy đủ,,Sổ đỏ/ Sổ hồng,25/04/2025,05/05/2025,Tin thường,42825173
"Đường Đào Tông Nguyên, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh",Nhà riêng,94 m²,"8,5 tỷ",4 phòng,,3 tầng,Đầy đủ,Đông - Bắc,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42524046
"Đường Nguyễn Văn Quỳ, Phường Phú Thuận, Quận 7, Hồ Chí Minh",Nhà riêng,"66,6 m²","7,47 tỷ",4 phòng,,3 tầng,Đầy đủ,Nam,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42638145
"Đường Ung Văn Khiêm, Phường 25, Bình Thạnh, Hồ Chí Minh",Nhà riêng,72 m²,"12,6 tỷ",8 phòng,,5 tầng,,,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42817784
"Xã Tân Phú Trung, Củ Chi, Hồ Chí Minh",Đất bán,"154,7 m²","1,65 tỷ",,,,,,Sổ đỏ/ Sổ hồng,29/04/2025,09/05/2025,Tin thường,42674620
"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",Căn hộ chung cư,91 m²,Thỏa thuận,3 phòng,,,,,,02/05/2025,09/05/2025,Tin thường,42749757
"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",Căn hộ chung cư,59 m²,"2,6 tỷ",2 phòng,,,Bàn giao full nội thất (tùy căn).,Đông - Nam,,03/05/2025,10/05/2025,Tin VIP Kim Cương,42873959
"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",Căn hộ chung cư,59 m²,"2,7 tỷ",2 phòng,,,,,Sổ đỏ/ Sổ hồng,04/05/2025,11/05/2025,Tin VIP Kim Cương,42663096
"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",Căn hộ chung cư,80 m²,Thỏa thuận,2 phòng,,,Đầy đủ,Đông - Nam,Sổ đỏ/ Sổ hồng,03/05/2025,18/05/2025,Tin VIP Kim Cương,42739085
"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",Căn hộ chung cư,81 m²,"3,8 tỷ",3 phòng,,,,,Hợp đồng mua bán,06/05/2025,13/05/2025,Tin VIP Kim Cương,42854535
"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",Căn hộ chung cư,85 m²,"5,99 tỷ",2 phòng,,,Đầy đủ.,Bắc,Hợp đồng mua bán,26/04/2025,06/05/2025,Tin thường,41646752
"Dự án Eco Green Sài Gòn, Đường Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh",Căn hộ chung cư,66 m²,"4,8 tỷ",2 phòng,,,Cơ bản,,Sổ đỏ/ Sổ hồng,06/05/2025,21/05/2025,Tin VIP Kim Cương,37347305
"Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",Căn hộ chung cư,67 m²,"3,1 tỷ",2 phòng,,,,,,03/05/2025,10/05/2025,Tin VIP Kim Cương,42875397
"Happy One Sora, Số 9, Linh Xuân, Thủ Đức, Hồ Chí Minh",Căn hộ chung cư,"69,85 m²","45,9 triệu/m²",2 phòng,,,Đầy đủ,,Sổ đỏ/ Sổ hồng,03/05/2025,13/05/2025,Tin VIP Kim Cương,42834056
"Dự án The Origami, Đường Phước Thiện, Phường Long Bình, Quận 9, Hồ Chí Minh",Căn hộ chung cư,81 m²,"3,5 tỷ",3 phòng,,,Đầy đủ.,Đông - Nam,Hợp đồng mua bán,09/05/2025,16/05/2025,Tin VIP Kim Cương,42603817
"Dự án Vinhomes Golden River Ba Son, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh.",Căn hộ chung cư,100 m²,"17,5 tỷ",3 phòng,,,Đầy đủ,,,03/05/2025,10/05/2025,Tin VIP Kim Cương,33734356
"Dự án Eaton Park, Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh",Căn hộ chung cư,55 m²,"6,5 tỷ",1 phòng,,,Đầy đủ,,Hợp đồng mua bán,05/05/2025,09/05/2025,Tin thường,41094269
"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",Căn hộ chung cư,96 m²,"5,9 tỷ",2 phòng,,,Cơ bản,,Đang chờ sổ,03/05/2025,10/05/2025,Tin VIP Kim Cương,42691590
"The Beverly Solari - Vinhomes Grand Park, Long Bình, Quận 9, Hồ Chí Minh",Căn hộ chung cư,59 m²,"2,8 tỷ",2 phòng,,,,,,02/05/2025,09/05/2025,Tin thường,42866674
"Dự án Eaton Park, Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh",Căn hộ chung cư,103 m²,Thỏa thuận,3 phòng,,,Đầy đủ,,Sổ đỏ/ Sổ hồng,03/05/2025,10/05/2025,Tin VIP Kim Cương,40572971
"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",Căn hộ chung cư,61 m²,"2,6 tỷ",3 phòng,,,Nội thất chủ đầu tư.,,,02/05/2025,09/05/2025,Tin thường,33552131
"Dự án The Origami, Đường Phước Thiện, Phường Long Bình, Quận 9, Hồ Chí Minh",Căn hộ chung cư,61 m²,"2,7 tỷ",2 phòng,,,Đầy đủ.,Đông - Nam,Sổ đỏ/ Sổ hồng,03/05/2025,10/05/2025,Tin VIP Kim Cương,42639362
"Dự án Glory Heights - Vinhomes Grand Park, Đường Nguyễn Xiển, Phường Long Bình, Quận 9, Hồ Chí Minh",Shophouse nhà phố thương mại,100 m²,21 tỷ,,,,Cơ bản,,Hợp đồng mua bán,03/05/2025,13/05/2025,Tin VIP Kim Cương,42872813
"Dự án Diamond Centery Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",Căn hộ chung cư,121 m²,"7,5 tỷ",2 phòng,,,,,Hợp đồng mua bán,28/04/2025,08/05/2025,Tin thường,41335809
"Dự án The Opus One - Vinhomes Grand Park, Phường Long Bình, Quận 9, Hồ Chí Minh",Căn hộ chung cư,80 m²,"6,1 tỷ",2 phòng,,,Cơ bản,Tây - Bắc,,30/04/2025,07/05/2025,Tin thường,42859328
